244,Tremorfa,941.0,1518.0,GBR
245,Turlough Hill,592.0,1122.0,IRL
246,Tynemouth,1271.0,797.0,GBR
247,Upper Boat,926.0,1502.0,GBR
248,W. Weybridge,1262.0,1611.0,GBR
249,Walham junction,1105.0,1479.0,GBR
250,Walham,1071.0,1455.0,GBR
251,Walpole,1426.0,1334.0,GBR
252,Warley,1396.0,1560.0,GBR
253,Washway Farm,1085.0,1095.0,GBR
254,West Boldon,1277.0,828.0,GBR
255,West Burton,1321.0,1179.0,GBR
256,West Melton,1242.0,1146.0,GBR
257,Westfield,1125.0,537.0,GBR
258,Whitegate,1137.0,1117.0,GBR
259,Whitson,984.0,1504.0,GBR
260,Willenhall,1130.0,1334.0,GBR
261,Windyhill,966.0,556.0,GBR
262,Wishaw,1072.0,631.0,GBR
263,Woodland,589.0,1026.0,IRL
264,Wylfa,860.0,1099.0,GBR
265,Wymondley,1330.0,1482.0,GBR
266,Pelham Junction,1369.0,1511.0,GBR
267,Exeter Junction,907.0,1633.0,GBR
269,Leighton Junction,1257.0,1482.0,GBR
270,Severn Power,973.0,1481.0,GBR
271,Berskwell Junction,1157.0,1366.0,GBR
272,Bushbury Junction,1147.0,1314.0,GBR
273,Penn Junction,1103.0,1319.0,GBR
274,Ocker Junction,1177.0,1320.0,GBR
275,Deeside Junction,1060.0,1175.0,GBR
276,Cottam Junction,1312.0,1200.0,GBR
277,Thoroe Junction one,1271.0,1116.0,GBR
278,Thoroe Junction two,1273.0,1122.0,GBR
279,Thoroe Junction three,1307.0,1120.0,GBR
280,Thoroe Junction four,1319.0,1104.0,GBR
281,Thorpe Junction five,1314.0,1128.0,GBR
282,Marsh,1280.0,1130.0,GBR
283,Padiham Junction,1130.0,1071.0,GBR
284,Rochdale Junction,1130.0,1101.0,GBR
285,Bradford Junction,1195.0,1086.0,GBR
286,Tealing Junction,1130.0,472.0,GBR
287,Dummuies Junction,1241.0,293.0,GBR
288,Stoneywood Junction,1267.0,339.0,GBR
